Id,SalePrice
1461,236596.46061598754
1462,311312.4304865862
1463,186909.8921256152
1464,241471.31016967777
1465,229564.40032637498
1466,73080.81015433097
1467,205507.9384172603
1468,92340.09856473992
1469,342566.34566137235
1470,243876.46702400196
1471,217307.9184688319
1472,106541.36084937531
1473,145083.1663924843
1474,88562.8521926224
1475,165528.56912437387
1476,112903.38350709334
1477,198305.711118692
1478,381640.0414485913
1479,317378.9812168033
1480,353048.7648617672
1481,279128.3286196407
1482,292816.4852123063
1483,59044.04860855687
1484,107499.63404604571
1485,84910.05512749482
1486,74033.53379668957
1487,119310.334294827
1488,262705.004436837
1489,92130.57631121791
1490,196948.6585279237
1491,146792.52687639877
1492,83139.88713849713
1493,312950.9419634731
1494,201739.96222068247
1495,260952.08801066593
1496,236552.25465271584
1497,139991.45682216363
1498,131135.39343684755
1499,123279.52393581563
1500,146615.8967748573
1501,267331.7150325158
1502,142260.2853793418
1503,288860.40951041615
1504,159880.12798102302
1505,267249.60944686044
1506,272181.47187030903
1507,208292.7510661169
1508,207978.61956609835
1509,95259.97342856573
1510,295637.29245437356
1511,259903.93326698628
1512,272273.6412734722
1513,91730.28100353446
1514,173221.06907358285
1515,216962.7970618365
1516,240168.86417859606
1517,223181.3643161309
1518,93144.61675911037
1519,313627.41941198875
1520,244218.65503370718
1521,330175.8255765299
1522,273046.33465552336
1523,118603.94565240991
1524,297715.8979388333
1525,229712.68605630568
1526,233902.38755888247
1527,111963.99953724563
1528,167409.79730779273
1529,289961.3097562895
1530,301183.7326022536
1531,154930.8052250978
1532,112033.02047620894
1533,228977.66785825376
1534,133431.72389483455
1535,104567.10770988079
1536,86782.80581869502
1537,109789.99692373855
1538,83969.78945228834
1539,114778.40375477
1540,98323.84100374681
1541,109481.84775954933
1542,121772.7600691069
1543,105852.69959877452
1544,89634.49492905397
1545,108419.47709861389
1546,119043.50618971756
1547,208965.74253177232
1548,90452.05921622424
1549,87393.75921722809
1550,104509.27470952582
1551,274594.5895484947
1552,86741.3067909223
1553,99986.99940290382
1554,129946.42327930537
1555,280009.3153273218
1556,100669.27516439234
1557,101152.94104363321
1558,133424.27544777014
1559,98387.43188663266
1560,109641.52046937309
1561,143454.26409735173
1562,240707.23067116668
1563,230834.3719518759
1564,246819.75866001984
1565,117348.95941572127
1566,270144.51921128755
1567,92182.83414112768
1568,213208.42422215574
1569,85112.26259308057
1570,148122.60490524446
1571,118680.10667661128
1572,200979.67625745476
1573,274299.48095699726
1574,89601.9276344191
1575,249420.77940961366
1576,222276.28308568525
1577,286914.90284256125
1578,96691.96783491461
1579,205456.27185520585
1580,92112.39195845487
1581,172592.13220446286
1582,294060.6207005356
1583,347528.3452509754
1584,81924.43954267792
1585,248682.56769000465
1586,112519.72633210494
1587,85857.50222079725
1588,232325.36631835633
1589,119740.62728450356
1590,213973.82888941205
1591,130264.96858510775
1592,461839.8548557352
1593,126613.27061168567
1594,93595.45537937319
1595,89311.63601940728
1596,259142.24315318835
1597,261181.73295457978
1598,146820.83211258997
1599,231407.77681017277
1600,183307.40245542512
1601,154186.62194150296
1602,101244.03558589924
1603,119772.39009759323
1604,257255.82905735704
1605,106368.40509726384
1606,267007.6000897162
1607,91262.75760103545
1608,336583.4426822807
1609,91939.18257710595
1610,97836.92414614491
1611,103805.85603426339
1612,103940.7681881789
1613,82264.80776625572
1614,218740.46585071017
1615,96281.22699252158
1616,98188.14077380874
1617,147749.02438368773
1618,249593.16809804842
1619,235352.6809730085
1620,93191.97619482318
1621,107749.42611106014
1622,76084.10346723991
1623,218725.958837862
1624,241778.41450873544
1625,267654.3709485493
1626,295968.7702962428
1627,228547.1173145681
1628,211028.00025284485
1629,132114.68854207997
1630,223761.35111899488
1631,264069.4659917239
1632,289548.8789207374
1633,84287.22069057202
1634,115020.44166529556
1635,110372.77533734996
1636,188918.74521399572
1637,216400.19923769872
1638,136197.18188776885
1639,258184.70810831035
1640,171953.4183188049
1641,385389.2501821032
1642,102831.94992194306
1643,96687.31517680036
1644,116410.98213246059
1645,233600.66400873533
1646,339329.05179761536
1647,303225.88634602283
1648,81687.24600550086
1649,313032.3475848198
1650,248433.80892409972
1651,361937.455612334
1652,140818.42358960418
1653,113771.98510011451
1654,91699.64997499896
1655,186695.45645773236
1656,128011.76881018667
1657,86230.33592769492
1658,85279.91380984655
1659,214348.06933243334
1660,308089.43228202517
1661,264728.97411165776
1662,208620.20364053248
1663,308057.2830530854
